date,price,portfolio_value,long_shares,short_shares,long_position,short_position,cash,long_action,short_action,returns,benchmark_portfolio_value,benchmark_long_shares,benchmark_short_shares,benchmark_long_position,benchmark_short_position,benchmark_cash,benchmark_returns
2016-01-28,0.691851,1997965.9037292004,906664.8723987782,0.0,627277.0166397095,0.0,1370688.887089491,0.627277,0.0,-0.0003922933187240209,1684085.185533128,2434173.16328533,0.0,1684085.185533128,0.0,0.0,-0.011846518144011497
2016-01-29,0.68428844,1990634.7055279901,1461372.0449233067,0.0,1000000.0,0.0,990634.7055279901,1.0,0.0,-0.003669330986843453,1665676.5617909958,2434173.16328533,0.0,1665676.5617909958,0.0,0.0,-0.010930933989584446
2016-02-01,0.71453875,2032399.4635773269,68421.20980118774,1341345.2535045338,48889.60593232836,958443.1648254395,2941953.022470438,0.0,0.95844316,0.02098062388511365,1739311.0567595244,2434173.16328533,0.0,1739311.0567595244,0.0,0.0,0.04420695826411247
2016-02-02,0.71478266,2030821.574367656,145599.71874730813,0.0,104072.15356826784,0.0,1926749.420799388,0.10407215,0.0,-0.0007763676570223184,1739904.7569648603,2434173.16328533,0.0,1739904.7569648603,0.0,0.0,0.00034134218003600836
2016-02-03,0.68453234,2026292.5529629018,0.0,0.0,0.0,0.0,2026292.5529629018,0.0,0.0,-0.0022301424516648414,1666270.2619963316,2434173.16328533,0.0,1666270.2619963316,0.0,0.0,-0.042320992797613144
2016-02-04,0.68794763,2026292.5529629018,0.0,0.0,0.0,0.0,2026292.5529629018,0.0,0.0,0.0,1674583.6608393271,2434173.16328533,0.0,1674583.6608393271,0.0,0.0,0.004989225883036852
2016-02-05,0.6881917,2025921.7497482924,0.0,431046.41709151294,0.0,296642.57168769836,2322564.3214359907,0.0,0.29664257,-0.00018299589270423527,1675177.796308743,2434173.16328533,0.0,1675177.796308743,0.0,0.0,0.0003547959204297513
2016-02-08,0.644768,2044159.9498631838,163816.1928195025,0.0,105623.43895435335,0.0,1938536.5109088304,0.10562344,0.0,0.009002420807791504,1569476.9612908773,2434173.16328533,0.0,1569476.9612908773,0.0,0.0,-0.06309828162193298
2016-02-09,0.6152497,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,-0.0024271884289526684,1497624.2923784899,2434173.16328533,0.0,1497624.2923784899,0.0,0.0,-0.04578128457069397
2016-02-10,0.6218364,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,0.0,1513657.5349471718,2434173.16328533,0.0,1513657.5349471718,0.0,0.0,0.01070578396320343
2016-02-11,0.620373,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,0.0,1510095.333715157,2434173.16328533,0.0,1510095.333715157,0.0,0.0,-0.0023533732164651155
2016-02-12,0.6172013,2039198.3884859474,0.0,0.0,0.0,0.0,2039198.3884859474,0.0,0.0,0.0,1502374.9096373634,2434173.16328533,0.0,1502374.9096373634,0.0,0.0,-0.0051125409081578255
2016-02-16,0.62769127,2038618.406831065,681898.7757185702,57294.752819129055,428021.9078063965,35963.41609954834,1646559.9151242168,0.4280219,0.035963416,-0.00028441649334229443,1527909.241635766,2434173.16328533,0.0,1527909.241635766,0.0,0.0,0.016995979472994804
